Id,TagName,Count,ExcerptPostId,WikiPostId
1607,bernoulli-process,3,NULL,NULL
1609,down-sample,2,NULL,NULL
1610,competing-risks,4,NULL,NULL
1611,time-varying-covariate,27,76604,76603
1613,gwas,6,80669,80668
1614,heterogeneity,6,NULL,NULL
1615,variance-test,2,NULL,NULL
1616,beta-distribution,50,68561,68560
1619,sufficient-statistics,24,79198,79197
1620,pcoa,4,99045,99044
1623,population-average,2,68981,68980
1624,subject-specific,1,68979,68978
1625,clogit,21,69044,69043
1626,nlmer,2,69079,69078
1627,augmented-dickey-fuller,16,NULL,NULL
1628,nlme,42,69199,69198
1629,toeplitz,1,73839,73838
1634,combinatorics,34,69680,69679
1637,lrt,5,71400,71399
1638,random-walk,34,NULL,NULL
1640,singular,5,74455,74454
1643,dag,6,71181,71180
1644,exact-test,8,NULL,NULL
1645,counterbalancing,6,NULL,NULL
1646,ram,2,81234,81233
1647,php,2,71821,71820
1648,hierarchical,63,NULL,NULL
1649,inferential-statistics,18,NULL,NULL
1651,control,13,NULL,NULL
1653,continuous,7,73934,73933
1654,sample-mean,22,74428,74427
1656,hidden-markov-model,170,99539,99538
1658,dispersion,14,74430,74429
1659,impulse-response,4,72984,72983
1660,kernel-density-estimate,43,74457,74456
1661,ggplot,1,73890,73889
1662,gmm,1,73443,73442
1663,bayesian-network,26,NULL,NULL
1664,structure-learning,2,NULL,NULL
1665,bayesian-score,3,NULL,NULL
1666,convolution,26,NULL,NULL
1668,missing,2,NULL,NULL
1670,runs,1,79672,79671
1671,ode,3,NULL,NULL
1672,multivariate,47,NULL,NULL
1673,open-bugs,10,80661,80660
1674,confusion-matrix,22,NULL,NULL
1676,car.normal,1,80766,80765
1677,car,3,80665,80664
1678,geobugs,1,80663,80662
1679,ratio,29,NULL,NULL
1681,stacking,5,NULL,NULL
1684,nnet,7,80673,80672
1689,signed-rank-test,3,NULL,NULL
1696,cumulants,2,NULL,NULL
1697,martingale,5,NULL,NULL
1698,systematic,3,NULL,NULL
1699,neyman-pearson-lemma,7,NULL,NULL
1701,intercept,27,NULL,NULL
1703,vecm,18,NULL,NULL
1704,laplace-distribution,5,NULL,NULL
1706,partial-plot,3,NULL,NULL
1707,point-mass-at-zero,4,NULL,NULL
1708,clara,1,85832,85831
1710,gretl,5,85829,85828
1712,irls,3,NULL,NULL
1713,wlln,4,82619,82618
1714,radial-basis,7,NULL,NULL
1716,monotone-likelihood-ratio,2,NULL,NULL
1718,xorshift,2,85823,85822
1719,cauchy,7,NULL,NULL
1720,plm,8,NULL,NULL
1721,marginal-model,1,86337,86336
1723,semiparametric,5,86549,86548
1724,ordered-logit,20,86507,86506
1726,back-transformation,8,NULL,NULL
1728,tweedie-distribution,2,NULL,NULL
1733,moving-average,25,NULL,NULL
1735,regression-strategies,30,88969,88968
1736,percentage,19,NULL,NULL
1738,jeffreys-prior,3,NULL,NULL
1739,cochran-armitage-test,2,NULL,NULL
1740,test-for-trend,4,NULL,NULL
1744,message-passing,1,NULL,NULL
1745,variational-bayes,5,NULL,NULL
1746,kriging,3,NULL,NULL
1748,moving-window,9,NULL,NULL
1750,improper-probability,1,NULL,NULL
1752,f-statistic,5,NULL,NULL
1753,contextual-bandit,2,NULL,NULL
1754,vowpal-wabbit,5,NULL,NULL
1757,naive,1,NULL,NULL
1758,semi-supervised,7,NULL,NULL
1759,fractional-factorial,8,93050,93049
1760,disaggregation,2,NULL,NULL
1761,robust-standard-error,11,NULL,NULL
1763,poisson-binomial,9,93739,93738
1764,extremal-dependence,3,NULL,NULL
1765,explanatory,5,NULL,NULL
1766,choice,6,NULL,NULL
1768,probabilistic-programming,3,NULL,NULL
1769,mlogit,8,NULL,NULL
1770,flexmix,1,NULL,NULL
1772,agreement-statistics,8,NULL,NULL
1773,tost,9,96235,96234
1775,rayleigh,9,96219,96218
1777,accuracy,31,NULL,NULL
1779,familywise-error,4,NULL,NULL
1780,time-complexity,4,NULL,NULL
1783,high-dimensional,15,104826,104825
1784,parallel-analysis,5,97865,97864
1785,forestry,1,NULL,NULL
1786,age-period-cohort,3,NULL,NULL
1787,inverse-gaussian-distrib,3,99142,99141
1788,novelty-detection,1,NULL,NULL
1789,largest-value,1,NULL,NULL
1790,taguchi,1,NULL,NULL
1791,multiple-membership,1,100217,100216
1792,google-trends,1,NULL,NULL
1793,taylor-series,2,NULL,NULL
1794,edgeworth,1,NULL,NULL
1795,record-linkage,2,NULL,NULL
1796,noise,11,NULL,NULL
1797,breusch-pagan,4,NULL,NULL
1798,heavy-tailed,7,NULL,NULL
1800,clpc,1,102938,102937
1801,causality,4,NULL,NULL
1802,relabelling,1,NULL,NULL
1803,superiority,1,NULL,NULL
1804,apriori,2,NULL,NULL
1806,astronomy,2,NULL,NULL
1809,mixed-design,6,NULL,NULL
1810,circular-statistics,10,109442,109441
1812,cramers-v,6,NULL,NULL
1813,pac,1,NULL,NULL
1814,rademacher,1,NULL,NULL
1815,data-acquisition,1,NULL,NULL
1818,collecting-data,1,NULL,NULL
1819,manifold-learning,3,107659,107658
1820,hausman,27,107801,107800
1822,dunn-test,5,108053,108052
1825,latent-semantic-indexing,1,NULL,NULL
1826,nonparametric-density,2,NULL,NULL
1828,blup,1,NULL,NULL
1829,cochran-q,3,109367,109366
1830,in-sample,2,NULL,NULL
1831,explanatory-models,2,NULL,NULL
